,website,in_sfdc
863,abiglobalfoods.co.uk,False
864,abilityworkplace.co.uk,False
865,abingtondecoratingsupplies.co.uk,True
866,abisarrangements.co.uk,True
867,abisbathbombs.co.uk,False
868,abiselectronics.co.uk,True
869,abiti-ladies.co.uk,False
870,abkbeershop.co.uk,False
871,ablalondon.co.uk,False
872,able-print.co.uk,False
873,ablehygiene.co.uk,False
874,ablete.co.uk,False
875,aboostforthebrave.co.uk,False
876,above-the-clouds.co.uk,True
877,aboveaverageuk.co.uk,False
878,abowed.co.uk,False
879,abreathoffreshair.co.uk,False
880,abrilliantdisguise.co.uk,False
881,abroadley.co.uk,False
882,abrushwithlove.co.uk,False
883,abs-secure.co.uk,False
884,absathome.co.uk,False
885,absolute360.co.uk,False
886,absolutegifts.co.uk,False
887,absolutemugs.co.uk,False
888,absoluterugby.co.uk,False
889,absurddesign.co.uk,False
890,absureclothing.co.uk,False
891,academyrefrigeration.co.uk,True
892,acattire.co.uk,False
893,acc4u.co.uk,False
894,acceleratedgraphics.co.uk,False
895,accept.uk,False
896,accesscbd.uk,False
897,accidentinvestigationkit.co.uk,False
898,accountests.co.uk,False
899,accreationsofficial.co.uk,False
900,accupart.co.uk,True
901,accurascale.co.uk,True
902,acdcdrives.co.uk,False
903,acdesignsltd.co.uk,False
904,ace-races.co.uk,False
905,acecases.co.uk,False
906,acediscgolf.co.uk,True
907,acemont.co.uk,False
908,acetrucks.co.uk,False
909,acid87.co.uk,True
910,acknitwear.co.uk,False
911,aclarkefalconry.co.uk,False
912,acmecups.co.uk,False
913,acornleather.co.uk,False
914,acresaquatics.co.uk,False
915,acs-spiritwear.co.uk,False
